Name,Origin,Type,Friendly Rating (1-10),Life Span,Size,Grooming Needs,Exercise Requirements (hrs/day),Intelligence Rating (1-10),Shedding Level,Health Issues Risk,Average Weight (kg),Training Difficulty (1-10)
Curly-Coated Retriever,England,Sporting,7,12,Large,Moderate,2,7,Low,Low,32,6
Dachshund,Germany,Hound,7,14,Small,Low,1.5,7,Moderate,High,10,7
Dalmatian,Croatia,Non-Sporting,8,12,Medium,Low,2.5,7,Moderate,High,24,7
Dandie Dinmont Terrier,Scotland,Terrier,7,13,Small,Moderate,1.5,7,Low,Low,8,7
Doberman Pinscher,Germany,Working,8,11,Large,Low,2.5,9,Low,Moderate,35,7
English Bulldog,England,Non-Sporting,7,9,Medium,Low,1,6,Moderate,High,20,7
English Cocker Spaniel,England,Sporting,8,12,Medium,High,1.5,7,Moderate,Moderate,14,5
English Foxhound,England,Hound,7,12,Medium,Low,2.5,6,Moderate,Low,29,7
English Setter,England,Sporting,8,12,Medium,High,2,7,Moderate,Moderate,26,6
English Springer Spaniel,England,Sporting,9,13,Medium,High,2,7,Moderate,Moderate,20,6
English Toy Spaniel,England,Toy,8,11,Small,High,1,7,Moderate,Moderate,5,6
Entlebucher Mountain Dog,Switzerland,Herding,7,12,Medium,Low,2.5,8,Moderate,Low,27,7
Field Spaniel,England,Sporting,7,12,Medium,High,2,7,Moderate,Low,18,6
Finnish Lapphund,Finland,Herding,8,12,Medium,High,2,7,High,Low,20,6
Finnish Spitz,Finland,Non-Sporting,7,13,Medium,Moderate,2,8,Moderate,Low,15,7
Flat-Coated Retriever,England,Sporting,9,11,Large,Moderate,2.5,8,Moderate,Moderate,32,5
French Bulldog,France,Non-Sporting,8,11,Small,Low,1,7,Low,High,11,6
German Pinscher,Germany,Working,7,13,Medium,Low,2,8,Moderate,Low,13,7
German Shepherd,Germany,Herding,8,11,Large,Moderate,2.5,9,High,Moderate,31,6
German Shorthaired Pointer,Germany,Sporting,8,13,Large,Low,2.5,8,Moderate,Low,26,6
German Wirehaired Pointer,Germany,Sporting,7,13,Large,Moderate,2.5,8,Moderate,Low,27,7
Giant Schnauzer,Germany,Working,7,13,Large,High,2,8,Low,Moderate,38,8
Golden Retriever,Scotland,Sporting,10,11,Large,High,2,8,High,Moderate,29,4
Gordon Setter,Scotland,Sporting,8,11,Large,High,2,7,Moderate,Moderate,26,6
Great Dane,Germany,Working,8,8,Giant,Low,2,6,Moderate,High,67,6
Great Pyrenees,France,Working,7,11,Large,High,1.5,6,High,Moderate,46,8
Greater Swiss Mountain Dog,Switzerland,Working,8,10,Large,Low,2,7,Moderate,Moderate,61,7
Greyhound,Egypt,Hound,7,11,Large,Low,2,7,Low,Low,33,6
Harrier,England,Hound,8,12,Medium,Low,2,6,Moderate,Low,25,6
Havanese,Cuba,Toy,9,14,Small,High,1.5,8,Low,Low,5,5
Ibizan Hound,Spain,Hound,7,13,Medium,Low,2,7,Low,Low,22,7
Icelandic Sheepdog,Iceland,Herding,8,12,Medium,Moderate,2,7,Moderate,Low,14,6
Irish Red and White Setter,Ireland,Sporting,8,12,Large,High,2.5,7,Moderate,Moderate,27,6
Irish Setter,Ireland,Sporting,8,13,Large,High,2.5,7,High,Moderate,29,6
Irish Terrier,Ireland,Terrier,7,13,Medium,Moderate,1.5,7,Low,Low,11,7
Irish Water Spaniel,Ireland,Sporting,8,11,Large,High,2,7,Low,Low,24,6
Irish Wolfhound,Ireland,Hound,7,7,Giant,Moderate,2,6,Moderate,High,54,6
Italian Greyhound,Italy,Toy,7,13,Small,Low,1.5,7,Low,Moderate,4,7
Japanese Chin,Japan,Toy,7,11,Small,Moderate,1,7,Moderate,Low,3,6
Japanese Spitz,Japan,Non-Sporting,8,13,Small,High,1.5,8,High,Low,6,6
Keeshond,Netherlands,Non-Sporting,8,13,Medium,High,1.5,8,High,Low,16,6
Kerry Blue Terrier,Ireland,Terrier,7,13,Medium,High,1.5,7,Low,Low,16,7
Komondor,Hungary,Working,6,11,Large,Very High,2,6,Low,Low,40,8
Kuvasz,Hungary,Working,6,11,Large,Moderate,2,7,Moderate,Moderate,42,8
Labrador Retriever,Canada,Sporting,10,11,Large,Moderate,2,8,High,Moderate,30,4
Lakeland Terrier,England,Terrier,7,13,Small,Moderate,1.5,7,Low,Low,7,7
Leonberger,Germany,Working,8,9,Giant,High,2,7,High,High,61,8
Lhasa Apso,Tibet,Non-Sporting,6,13,Small,Very High,1,7,Low,Low,6,8
Lowchen,France,Non-Sporting,8,14,Small,High,1.5,8,Low,Low,6,6
Maltese,Malta,Toy,8,13,Small,Very High,1,7,Low,Low,2.5,6
Manchester Terrier,England,Terrier,7,15,Small-Medium,Low,1.5,8,Moderate,Low,7,7
Mastiff,England,Working,6,9,Giant,Low,1.5,6,Moderate,High,78,7
Miniature Pinscher,Germany,Toy,6,13,Small,Low,1.5,7,Low,Low,4,8
Miniature Schnauzer,Germany,Standard,8,12,Small,High,1.5,8,Moderate,Low,8,6
Neapolitan Mastiff,Italy,Working,6,8,Large,Moderate,1,5,Moderate,High,70,8
Newfoundland,Canada,Working,9,9,Giant,High,2,7,Moderate,Moderate,61,7
Norfolk Terrier,England,Terrier,8,14,Small,Low,1.5,7,Low,Low,5,6
Norwegian Buhund,Norway,Herding,8,12,Medium,Moderate,2,7,Moderate,Low,12,6
Norwegian Elkhound,Norway,Hound,7,12,Medium,Moderate,2,7,Moderate,Moderate,23,7
Norwegian Lundehund,Norway,Non-Sporting,7,12,Small,High,2,7,Moderate,High,8,7
Old English Sheepdog,England,Herding,8,10,Large,Very High,2,6,High,Moderate,32,6
Otterhound,England,Hound,7,10,Large,Very High,2.5,6,High,Moderate,37,7
Papillon,France,Toy,9,13,Small,Moderate,1,8,Low,Low,3,5
Pekingese,China,Toy,6,12,Small,Very High,1,5,Moderate,High,5,7
Pembroke Welsh Corgi,Wales,Herding,9,12,Small,Moderate,2,8,Moderate,Moderate,12,5
Petit Basset Griffon Vendeen,France,Hound,7,12,Small,High,2,6,High,Moderate,15,7
Pharaoh Hound,Malta,Hound,7,12,Medium,Moderate,2,8,Moderate,Low,20,7
Pointer,England,Sporting,8,12,Medium,Moderate,2.5,7,Moderate,Moderate,25,6
Pomeranian,Germany,Toy,8,12,Small,High,1,7,High,Moderate,3,7
Poodle (Miniature),France,Non-Sporting,8,15,Small,Very High,1.5,8,Low,Low,7,6
Poodle (Standard),France,Non-Sporting,9,12,Large,Very High,2,8,Moderate,Moderate,22,5
Poodle (Toy),France,Toy,9,15,Toy,Very High,1,8,Low,Low,4,5
Portuguese Podengo,Portugal,Hound,7,12,Medium,Moderate,2,8,Moderate,Low,15,8
Portuguese Water Dog,Portugal,Sporting,8,11,Medium,High,2,8,Moderate,Moderate,18,6
Pudelpointer,Germany,Sporting,7,12,Medium,Moderate,2.5,8,Moderate,Low,23,7
Pug,China,Toy,8,12,Small,Moderate,1,7,Moderate,High,7,6
Pyrenean Mountain Dog,France,Working,7,10,Giant,High,2,6,High,High,54,7
Rat Terrier,USA,Terrier,7,15,Small-Medium,Low,2,7,Moderate,Moderate,5,7
Redbone Coonhound,USA,Hound,8,12,Medium,Moderate,2,6,Moderate,Low,25,7
Rhodesian Ridgeback,Africa,Hound,6,11,Large,Moderate,2.5,8,Moderate,Moderate,36,7
Rottweiler,Germany,Working,7,9,Large,Moderate,2,8,High,High,40,8
Saint Bernard,Switzerland,Working,9,8,Giant,High,2,6,High,Moderate,68,7
Saluki,Middle East,Hound,6,12,Medium,Moderate,2.5,7,Moderate,Moderate,22,7
Samoyed,Siberia,Working,9,12,Medium,High,2,7,High,Moderate,21,7
Schipperke,Belgium,Non-Sporting,7,13,Small,Moderate,2,7,Moderate,Moderate,7,7
Scottish Deerhound,Scotland,Hound,6,8,Large,Moderate,2,6,Moderate,Moderate,41,7
Scottish Terrier,Scotland,Terrier,7,12,Small,Moderate,1.5,6,Moderate,High,9,7
Shetland Sheepdog,Scotland,Herding,9,12,Medium,High,2,8,High,Moderate,11,5
Shiba Inu,Japan,Non-Sporting,7,13,Small,Moderate,2,7,Moderate,Moderate,9,7
Shih Tzu,China,Toy,8,14,Small,Very High,1,6,Moderate,Moderate,4,7
Siberian Husky,Siberia,Working,8,12,Medium,Moderate,2.5,7,Moderate,Moderate,21,7
Silky Terrier,Australia,Terrier,7,13,Small,High,1.5,7,Moderate,Low,4,7
Skye Terrier,Scotland,Terrier,7,13,Small,Moderate,1.5,6,Moderate,Moderate,8,7
Sloughi,North Africa,Hound,6,12,Medium,Low,2.5,7,Low,Moderate,18,7
Smooth Fox Terrier,England,Terrier,7,13,Small,Low,2,7,Moderate,Moderate,7,7
Soft-Coated Wheaten Terrier,Ireland,Terrier,8,12,Medium,High,2,7,Moderate,Moderate,12,6
Spanish Water Dog,Spain,Sporting,7,12,Medium,Very High,2,8,Moderate,Moderate,15,6
Spinone Italiano,Italy,Sporting,7,12,Large,High,2,7,Moderate,Moderate,32,7
Staffordshire Bull Terrier,England,Terrier,7,12,Medium,Low,2,7,Moderate,High,16,7
Standard Poodle,France,Non-Sporting,9,12,Large,Very High,2,8,Moderate,Moderate,26,5
Standard Schnauzer,Germany,Standard,7,15,Medium,High,2,7,Moderate,Moderate,14,6
Sussex Spaniel,England,Sporting,7,11,Medium,High,1.5,6,Moderate,Moderate,18,6
Swedish Vallhund,Sweden,Herding,8,12,Medium,Moderate,2,8,Moderate,Low,12,7
Thai Ridgeback,Thailand,Hound,6,12,Medium,Moderate,2,7,Moderate,Moderate,15,7
Tibetan Mastiff,Tibet,Working,7,10,Large,High,2,6,Moderate,Moderate,45,8
Toy Fox Terrier,USA,Toy,8,15,Toy,Moderate,1.5,8,Low,Low,2,7
Treeing Walker Coonhound,USA,Hound,8,12,Medium,Moderate,2,7,Moderate,Moderate,20,7
Welsh Springer Spaniel,Wales,Sporting,8,13,Medium,High,2,7,Moderate,Moderate,16,6
Welsh Terrier,Wales,Terrier,7,14,Medium,Moderate,1.5,7,Moderate,Moderate,9,7
West Highland White Terrier,Scotland,Terrier,8,13,Small,Moderate,1.5,7,Moderate,Moderate,7,7
Whippet,England,Hound,7,13,Medium,Low,2,8,Low,Low,8,6
Wire Fox Terrier,England,Terrier,7,14,Small,Moderate,2,7,Moderate,Moderate,8,7
Wirehaired Dachshund,Germany,Hound,7,13,Small,Moderate,1.5,7,Moderate,High,8,7
Wirehaired Pointing Griffon,Netherlands,Sporting,7,13,Medium,High,2,7,Moderate,Moderate,20,6
Xoloitzcuintli,Mexico,Non-Sporting,7,15,Small-Large,Low,2,8,Low,Moderate,25-Jul,6
Yorkshire Terrier,England,Toy,8,13,Toy,High,1,7,Moderate,Moderate,2.5,6
